time,temp,wind_spd,wind_dir,solar,hour,month,target_temp
2015-10-01 08:00:00,56.66,2.3,44.2,58.9,8,10,56.84
2015-10-01 08:15:00,56.84,2.1,42.8,63.6,8,10,57.02
2015-10-01 08:30:00,56.84,2.0,33.1,58.9,8,10,57.02
2015-10-01 08:45:00,56.84,1.6,24.0,42.2,8,10,57.02
2015-10-02 08:00:00,50.36,2.0,37.9,41.7,8,10,49.82
2015-10-02 08:15:00,50.18,2.2,38.2,57.2,8,10,49.64
2015-10-02 08:30:00,50.0,2.0,43.0,61.4,8,10,49.64
2015-10-02 08:45:00,49.82,2.7,39.5,76.3,8,10,49.64
2015-10-03 08:00:00,50.9,3.3,57.4,33.7,8,10,51.26
2015-10-03 08:15:00,50.9,2.6,54.6,47.2,8,10,51.44
2015-10-03 08:30:00,51.08,2.8,56.3,55.7,8,10,51.62
2015-10-03 08:45:00,51.26,2.5,55.8,68.2,8,10,51.98
2015-10-04 08:00:00,54.68,2.6,66.7,136.0,8,10,55.4
2015-10-04 08:15:00,54.86,2.6,62.5,180.7,8,10,55.94
2015-10-04 08:30:00,55.04,2.5,66.4,202.1,8,10,55.76
2015-10-04 08:45:00,55.22,3.6,78.3,206.3,8,10,56.66
2015-10-05 08:00:00,54.32,1.2,46.5,35.8,8,10,56.48
2015-10-05 08:15:00,54.86,1.8,46.7,88.6,8,10,56.3
2015-10-05 08:30:00,55.4,2.0,47.4,176.0,8,10,56.3
2015-10-05 08:45:00,56.66,2.0,57.9,313.5,8,10,56.12
2015-10-06 08:00:00,53.42,0.7,304.1,311.2,8,10,59.9
2015-10-06 08:15:00,56.48,0.9,322.6,361.4,8,10,59.9
2015-10-06 08:30:00,58.1,1.4,330.4,406.8,8,10,60.62
2015-10-06 08:45:00,59.0,1.5,334.0,449.4,8,10,61.52
2015-10-07 08:00:00,59.54,1.4,334.3,268.2,8,10,61.88
2015-10-07 08:15:00,60.26,1.3,7.1,351.5,8,10,62.6
2015-10-07 08:30:00,60.62,1.6,355.7,395.3,8,10,62.96
2015-10-07 08:45:00,61.34,1.2,9.8,442.6,8,10,63.5
2015-10-08 08:00:00,55.4,0.4,347.0,193.6,8,10,61.34
2015-10-08 08:15:00,57.74,0.5,20.2,188.1,8,10,62.06
2015-10-08 08:30:00,59.18,0.8,40.9,230.0,8,10,67.1
2015-10-08 08:45:00,60.62,1.2,38.9,263.0,8,10,62.96
2015-10-09 08:00:00,64.4,1.9,191.1,167.2,8,10,66.74
2015-10-09 08:15:00,64.94,1.9,181.3,190.6,8,10,66.74
2015-10-09 08:30:00,65.3,2.4,179.7,287.8,8,10,67.64
2015-10-09 08:45:00,66.2,2.5,180.2,411.8,8,10,67.82
2015-10-10 08:00:00,53.06,1.6,347.0,309.2,8,10,54.14
2015-10-10 08:15:00,53.42,1.7,350.1,366.0,8,10,54.86
2015-10-10 08:30:00,53.96,1.8,1.5,421.8,8,10,55.04
2015-10-10 08:45:00,54.14,1.9,11.2,461.0,8,10,55.22
2015-10-11 08:00:00,46.4,0.3,210.9,322.7,8,10,57.38
2015-10-11 08:15:00,48.56,0.6,269.6,386.2,8,10,58.64
2015-10-11 08:30:00,53.42,0.9,263.2,424.2,8,10,59.36
2015-10-11 08:45:00,56.66,1.4,245.7,388.7,8,10,59.9
2015-10-12 08:00:00,58.64,1.6,241.9,305.9,8,10,63.14
2015-10-12 08:15:00,59.72,1.6,255.8,351.5,8,10,64.4
