time,temp,wind_spd,wind_dir,solar,hour,month,target_temp
2016-02-01 04:00:00,43.88,1.8,207.8,0.0,4,2,44.06
2016-02-01 04:15:00,44.24,2.3,213.2,0.0,4,2,43.88
2016-02-01 04:30:00,44.06,2.5,209.9,0.0,4,2,44.06
2016-02-01 04:45:00,44.06,2.3,202.9,0.0,4,2,43.88
2016-02-02 04:00:00,36.86,1.8,318.7,0.0,4,2,35.06
2016-02-02 04:15:00,36.5,1.6,318.8,0.0,4,2,34.88
2016-02-02 04:30:00,36.32,1.3,322.3,0.0,4,2,35.06
2016-02-02 04:45:00,35.42,1.0,334.9,0.0,4,2,34.7
2016-02-03 04:00:00,29.84,0.4,32.0,0.0,4,2,30.74
2016-02-03 04:15:00,29.84,0.4,1.3,0.0,4,2,31.28
2016-02-03 04:30:00,30.2,0.4,73.2,0.0,4,2,31.82
2016-02-03 04:45:00,30.38,0.8,332.5,0.0,4,2,32.54
2016-02-04 04:00:00,54.32,1.8,217.2,0.0,4,2,53.6
2016-02-04 04:15:00,53.96,2.0,215.5,0.0,4,2,53.06
2016-02-04 04:30:00,53.78,2.3,215.8,0.0,4,2,52.7
2016-02-04 04:45:00,53.6,3.0,211.6,0.0,4,2,52.34
2016-02-05 04:00:00,35.42,2.3,339.6,0.0,4,2,32.54
2016-02-05 04:15:00,34.7,2.4,332.9,0.0,4,2,32.18
2016-02-05 04:30:00,33.62,3.1,331.2,0.0,4,2,32.18
2016-02-05 04:45:00,32.9,3.0,338.8,0.0,4,2,32.0
2016-02-06 04:00:00,17.6,0.3,205.3,0.0,4,2,16.34
2016-02-06 04:15:00,17.42,0.5,283.3,0.0,4,2,16.16
2016-02-06 04:30:00,16.88,0.6,280.0,0.0,4,2,15.44
2016-02-06 04:45:00,16.7,0.4,277.3,0.0,4,2,15.44
2016-02-07 04:00:00,23.72,0.4,208.1,0.0,4,2,22.46
2016-02-07 04:15:00,23.36,0.4,231.0,0.0,4,2,22.1
2016-02-07 04:30:00,23.0,0.5,274.5,0.0,4,2,22.28
2016-02-07 04:45:00,22.64,0.3,294.2,0.0,4,2,21.2
2016-02-08 04:00:00,36.14,2.4,45.0,0.0,4,2,36.86
2016-02-08 04:15:00,36.5,3.2,51.8,0.0,4,2,36.68
2016-02-08 04:30:00,36.5,3.1,43.7,0.0,4,2,36.68
2016-02-08 04:45:00,36.86,3.7,52.9,0.0,4,2,36.5
2016-02-09 04:00:00,23.36,1.1,78.5,0.0,4,2,23.36
2016-02-09 04:15:00,23.54,0.8,58.9,0.0,4,2,23.36
2016-02-09 04:30:00,23.36,1.2,37.0,0.0,4,2,23.54
2016-02-09 04:45:00,23.36,1.1,43.7,0.0,4,2,23.72
2016-02-10 04:00:00,23.54,0.3,284.7,0.0,4,2,24.26
2016-02-10 04:15:00,23.54,0.3,284.7,0.0,4,2,24.44
2016-02-10 04:30:00,23.72,0.3,284.9,0.0,4,2,24.62
2016-02-10 04:45:00,24.08,0.3,284.9,0.0,4,2,24.62
2016-02-11 04:00:00,26.6,3.5,287.4,0.0,4,2,25.34
2016-02-11 04:15:00,25.52,4.3,291.4,0.0,4,2,24.98
2016-02-11 04:30:00,25.16,3.6,296.7,0.0,4,2,24.8
2016-02-11 04:45:00,25.52,3.0,290.5,0.0,4,2,24.44
2016-02-12 04:00:00,13.64,1.6,281.2,0.0,4,2,12.02
2016-02-12 04:15:00,13.1,1.5,280.7,0.0,4,2,11.12
2016-02-12 04:30:00,13.1,1.7,289.6,0.0,4,2,10.22
2016-02-12 04:45:00,12.92,1.4,286.9,0.0,4,2,8.78
2016-02-13 04:00:00,19.94,1.6,274.6,0.0,4,2,17.78
2016-02-13 04:15:00,19.22,1.8,264.7,0.0,4,2,17.24
2016-02-13 04:30:00,18.5,1.4,264.9,0.0,4,2,16.7
2016-02-13 04:45:00,17.96,1.3,269.6,0.0,4,2,15.26
2016-02-14 04:00:00,-0.76,4.5,312.9,0.0,4,2,-2.2
2016-02-14 04:15:00,-1.12,4.5,311.7,0.0,4,2,-2.38
2016-02-14 04:30:00,-1.3,3.0,316.1,0.0,4,2,-2.74
2016-02-14 04:45:00,-1.84,2.5,328.0,0.0,4,2,-3.1
2016-02-15 04:00:00,-3.46,0.3,283.1,0.0,4,2,-5.26
2016-02-15 04:15:00,-3.64,0.3,283.4,0.0,4,2,-5.62
2016-02-15 04:30:00,-4.18,0.3,284.0,0.0,4,2,-5.44
2016-02-15 04:45:00,-4.36,0.4,284.7,0.0,4,2,-5.08
2016-02-16 04:00:00,47.48,2.6,167.2,0.0,4,2,48.2
2016-02-16 04:15:00,47.66,3.1,156.8,0.0,4,2,48.2
2016-02-16 04:30:00,48.02,3.2,157.6,0.0,4,2,48.56
2016-02-16 04:45:00,47.84,3.2,156.4,0.0,4,2,49.64
2016-02-17 04:00:00,31.1,0.3,90.7,0.0,4,2,30.2
2016-02-17 04:15:00,31.1,0.2,69.6,0.0,4,2,30.38
2016-02-17 04:30:00,30.74,0.7,247.8,0.0,4,2,30.38
2016-02-17 04:45:00,30.38,0.9,244.6,0.0,4,2,30.02
2016-02-18 04:00:00,30.2,2.0,309.7,0.0,4,2,31.46
2016-02-18 04:15:00,30.02,1.6,308.8,0.0,4,2,31.28
2016-02-18 04:30:00,30.56,1.5,316.2,0.0,4,2,31.1
2016-02-18 04:45:00,31.1,1.9,316.4,0.0,4,2,30.92
2016-02-19 04:00:00,21.92,0.8,325.3,0.0,4,2,18.14
2016-02-19 04:15:00,21.2,0.8,323.1,0.0,4,2,17.06
2016-02-19 04:30:00,19.76,0.8,302.5,0.0,4,2,16.7
2016-02-19 04:45:00,18.5,0.9,298.2,0.0,4,2,16.16
2016-02-20 04:00:00,42.8,2.9,192.4,0.0,4,2,43.34
2016-02-20 04:15:00,42.8,2.5,186.9,0.0,4,2,43.52
2016-02-20 04:30:00,42.98,2.6,187.0,0.0,4,2,43.7
2016-02-20 04:45:00,43.16,3.5,189.3,0.0,4,2,43.52
2016-02-21 04:00:00,45.32,1.7,279.5,0.0,4,2,39.92
2016-02-21 04:15:00,45.5,1.9,281.2,0.0,4,2,38.66
2016-02-21 04:30:00,44.96,1.5,285.3,0.0,4,2,37.76
2016-02-21 04:45:00,41.36,0.8,332.5,0.0,4,2,36.5
2016-02-22 04:00:00,33.08,0.5,328.3,0.0,4,2,30.02
2016-02-22 04:15:00,32.0,0.3,266.9,0.0,4,2,29.84
2016-02-22 04:30:00,31.28,0.6,298.9,0.0,4,2,29.48
2016-02-22 04:45:00,30.56,0.5,278.4,0.0,4,2,29.3
2016-02-23 04:00:00,32.36,1.0,66.8,0.0,4,2,36.14
2016-02-23 04:15:00,32.9,1.0,65.4,0.0,4,2,37.22
2016-02-23 04:30:00,33.44,0.8,67.8,0.0,4,2,37.58
2016-02-23 04:45:00,34.16,1.2,64.9,0.0,4,2,37.76
2016-02-24 04:00:00,38.84,2.4,74.2,0.0,4,2,39.2
2016-02-24 04:15:00,39.02,1.8,66.6,0.0,4,2,39.38
2016-02-24 04:30:00,39.02,2.6,72.0,0.0,4,2,39.56
2016-02-24 04:45:00,39.2,2.0,59.4,0.0,4,2,39.74
2016-02-25 04:00:00,55.04,3.3,210.2,0.0,4,2,51.62
2016-02-25 04:15:00,54.14,3.5,203.9,0.0,4,2,51.44
2016-02-25 04:30:00,53.24,2.9,197.5,0.0,4,2,51.08
2016-02-25 04:45:00,52.52,3.0,189.1,0.0,4,2,50.72
2016-02-26 04:00:00,33.62,3.8,292.1,0.0,4,2,33.8
2016-02-26 04:15:00,33.62,3.8,292.0,0.0,4,2,33.8
2016-02-26 04:30:00,33.44,4.1,285.0,0.0,4,2,33.44
2016-02-26 04:45:00,33.62,3.6,285.7,0.0,4,2,32.9
2016-02-27 04:00:00,20.66,0.6,252.8,0.0,4,2,18.5
2016-02-27 04:15:00,19.94,0.2,210.2,0.0,4,2,17.78
2016-02-27 04:30:00,19.58,0.3,293.8,0.0,4,2,17.42
2016-02-27 04:45:00,19.04,0.4,213.6,0.0,4,2,16.7
2016-02-28 04:00:00,34.16,1.7,231.6,0.0,4,2,34.52
2016-02-28 04:15:00,33.26,1.5,230.2,0.0,4,2,34.52
2016-02-28 04:30:00,33.62,1.8,233.0,0.0,4,2,34.34
2016-02-28 04:45:00,34.34,1.8,239.0,0.0,4,2,33.98
2016-02-29 04:00:00,45.32,3.0,213.8,0.0,4,2,43.88
