time,temp,wind_spd,wind_dir,solar,hour,month,target_temp
2016-01-01 05:00:00,38.48,1.6,286.5,0.0,5,1,38.48
2016-01-01 05:15:00,38.48,1.6,284.1,0.0,5,1,38.66
2016-01-01 05:30:00,38.3,1.4,287.4,0.0,5,1,38.66
2016-01-01 05:45:00,38.3,1.2,289.6,0.0,5,1,38.66
2016-01-02 05:00:00,31.46,1.4,268.8,0.0,5,1,30.92
2016-01-02 05:15:00,31.28,1.9,272.6,0.0,5,1,30.74
2016-01-02 05:30:00,30.56,1.4,265.5,0.0,5,1,30.74
2016-01-02 05:45:00,30.92,2.3,281.0,0.0,5,1,30.56
2016-01-03 05:00:00,31.82,1.3,214.3,0.0,5,1,32.9
2016-01-03 05:15:00,31.64,1.4,237.5,0.0,5,1,33.44
2016-01-03 05:30:00,31.64,1.3,257.2,0.0,5,1,33.44
2016-01-03 05:45:00,31.64,1.2,227.4,0.0,5,1,33.26
2016-01-04 05:00:00,34.16,2.0,319.7,0.0,5,1,33.98
2016-01-04 05:15:00,33.8,1.8,318.7,0.0,5,1,33.26
2016-01-04 05:30:00,33.98,1.8,320.0,0.0,5,1,32.72
2016-01-04 05:45:00,34.16,2.2,319.1,0.0,5,1,32.18
2016-01-05 05:00:00,12.74,2.0,341.6,0.0,5,1,12.56
2016-01-05 05:15:00,12.74,2.8,349.5,0.0,5,1,12.56
2016-01-05 05:30:00,12.74,2.6,349.6,0.0,5,1,12.38
2016-01-05 05:45:00,12.56,2.4,344.5,0.0,5,1,12.2
2016-01-06 05:00:00,8.24,0.4,300.6,0.0,5,1,8.78
2016-01-06 05:15:00,8.24,0.4,308.9,0.0,5,1,9.32
2016-01-06 05:30:00,8.6,0.2,313.8,0.0,5,1,10.22
2016-01-06 05:45:00,8.96,0.3,305.6,0.0,5,1,10.76
2016-01-07 05:00:00,16.52,0.3,346.5,0.0,5,1,16.52
2016-01-07 05:15:00,16.34,0.3,333.0,0.0,5,1,16.16
2016-01-07 05:30:00,16.52,0.3,339.4,0.0,5,1,15.98
2016-01-07 05:45:00,16.7,0.6,337.6,0.0,5,1,15.98
2016-01-08 05:00:00,21.38,0.3,3.8,0.0,5,1,23.0
2016-01-08 05:15:00,21.74,0.3,17.1,0.0,5,1,22.64
2016-01-08 05:30:00,21.92,0.4,18.2,0.0,5,1,22.46
2016-01-08 05:45:00,22.28,0.4,21.7,0.0,5,1,22.82
2016-01-09 05:00:00,39.38,1.3,57.2,0.0,5,1,39.02
2016-01-09 05:15:00,39.2,1.3,52.8,0.0,5,1,38.84
2016-01-09 05:30:00,38.84,1.4,74.0,0.0,5,1,38.12
2016-01-09 05:45:00,39.02,1.8,72.8,0.0,5,1,37.76
2016-01-10 05:00:00,44.96,2.0,90.0,0.0,5,1,47.12
2016-01-10 05:15:00,45.5,2.4,87.0,0.0,5,1,47.48
2016-01-10 05:30:00,46.22,2.6,89.7,0.0,5,1,48.56
2016-01-10 05:45:00,46.76,2.4,87.5,0.0,5,1,50.0
2016-01-11 05:00:00,35.06,3.1,273.2,0.0,5,1,33.08
2016-01-11 05:15:00,34.52,3.2,272.7,0.0,5,1,32.54
2016-01-11 05:30:00,33.8,3.7,287.7,0.0,5,1,32.18
2016-01-11 05:45:00,33.44,3.9,287.8,0.0,5,1,31.82
2016-01-12 05:00:00,14.9,0.3,244.4,0.0,5,1,14.54
2016-01-12 05:15:00,14.54,0.3,245.4,0.0,5,1,14.72
2016-01-12 05:30:00,14.36,0.3,245.6,0.0,5,1,14.72
2016-01-12 05:45:00,14.36,0.3,245.6,0.0,5,1,14.0
2016-01-13 05:00:00,24.26,3.8,282.7,0.0,5,1,23.36
2016-01-13 05:15:00,24.08,3.8,281.9,0.0,5,1,23.18
2016-01-13 05:30:00,23.72,4.0,276.0,0.0,5,1,23.0
2016-01-13 05:45:00,23.72,5.0,283.5,0.0,5,1,23.0
2016-01-14 05:00:00,21.2,1.6,235.6,0.0,5,1,21.74
2016-01-14 05:15:00,21.2,1.2,228.3,0.0,5,1,21.92
2016-01-14 05:30:00,21.38,1.3,236.0,0.0,5,1,22.1
2016-01-14 05:45:00,21.56,1.3,245.1,0.0,5,1,22.1
2016-01-15 05:00:00,25.34,0.4,16.9,0.0,5,1,25.52
2016-01-15 05:15:00,24.98,0.3,44.7,0.0,5,1,24.8
2016-01-15 05:30:00,24.62,0.2,83.9,0.0,5,1,25.16
2016-01-15 05:45:00,24.8,0.4,9.1,0.0,5,1,25.7
2016-01-16 05:00:00,37.76,2.4,351.6,0.0,5,1,37.4
2016-01-16 05:15:00,37.58,2.2,346.3,0.0,5,1,37.4
2016-01-16 05:30:00,37.58,2.2,347.7,0.0,5,1,37.4
2016-01-16 05:45:00,37.58,2.4,338.9,0.0,5,1,37.58
2016-01-17 05:00:00,35.6,1.1,327.5,0.0,5,1,33.98
2016-01-17 05:15:00,35.06,1.3,326.3,0.0,5,1,33.08
2016-01-17 05:30:00,34.88,1.2,340.3,0.0,5,1,32.9
2016-01-17 05:45:00,34.52,1.4,335.9,0.0,5,1,32.36
2016-01-18 05:00:00,27.14,1.8,280.8,0.0,5,1,27.32
2016-01-18 05:15:00,27.86,3.3,284.0,0.0,5,1,26.96
2016-01-18 05:30:00,28.04,3.2,286.3,0.0,5,1,26.6
2016-01-18 05:45:00,27.5,2.9,280.4,0.0,5,1,25.7
2016-01-19 05:00:00,16.7,3.8,277.8,0.0,5,1,16.88
2016-01-19 05:15:00,16.7,3.2,273.5,0.0,5,1,17.42
2016-01-19 05:30:00,16.7,3.2,279.5,0.0,5,1,17.42
2016-01-19 05:45:00,16.7,3.4,277.9,0.0,5,1,17.42
2016-01-20 05:00:00,27.32,3.7,309.4,0.0,5,1,27.68
2016-01-20 05:15:00,27.68,3.5,296.0,0.0,5,1,27.5
2016-01-20 05:30:00,27.68,3.7,301.9,0.0,5,1,27.32
2016-01-20 05:45:00,27.5,3.5,301.6,0.0,5,1,27.14
2016-01-21 05:00:00,25.34,1.3,314.0,0.0,5,1,24.62
2016-01-21 05:15:00,25.52,1.6,309.9,0.0,5,1,24.26
2016-01-21 05:30:00,25.16,1.7,319.2,0.0,5,1,24.44
2016-01-21 05:45:00,24.98,1.9,318.5,0.0,5,1,24.8
2016-01-22 05:00:00,19.76,1.6,332.8,0.0,5,1,19.4
2016-01-22 05:15:00,19.4,1.7,328.1,0.0,5,1,19.4
2016-01-22 05:30:00,19.4,1.5,331.9,0.0,5,1,19.4
2016-01-22 05:45:00,19.4,1.7,333.0,0.0,5,1,19.4
2016-01-23 05:00:00,26.42,3.6,60.1,0.0,5,1,27.86
2016-01-23 05:15:00,26.78,4.1,57.9,0.0,5,1,28.04
2016-01-23 05:30:00,27.32,4.2,56.3,0.0,5,1,28.04
2016-01-23 05:45:00,27.68,4.0,64.2,0.0,5,1,27.86
2016-01-24 05:00:00,26.24,2.9,343.7,0.0,5,1,24.98
2016-01-24 05:15:00,25.7,2.5,342.3,0.0,5,1,25.16
2016-01-24 05:30:00,25.52,2.7,347.3,0.0,5,1,25.34
2016-01-24 05:45:00,25.16,1.9,342.1,0.0,5,1,25.34
2016-01-25 05:00:00,17.42,0.8,327.1,0.0,5,1,17.06
2016-01-25 05:15:00,17.6,0.9,318.6,0.0,5,1,15.8
2016-01-25 05:30:00,17.78,1.0,333.0,0.0,5,1,15.62
2016-01-25 05:45:00,17.6,0.9,333.3,0.0,5,1,15.44
2016-01-26 05:00:00,36.86,1.2,188.7,0.0,5,1,39.2
2016-01-26 05:15:00,37.94,1.2,173.6,0.0,5,1,38.84
2016-01-26 05:30:00,37.94,1.2,193.2,0.0,5,1,38.84
2016-01-26 05:45:00,38.84,1.5,181.5,0.0,5,1,37.4
2016-01-27 05:00:00,35.96,0.7,268.3,0.0,5,1,35.6
2016-01-27 05:15:00,35.6,0.5,294.8,0.0,5,1,35.6
2016-01-27 05:30:00,35.78,0.9,264.4,0.0,5,1,35.24
2016-01-27 05:45:00,35.6,0.8,246.8,0.0,5,1,35.42
2016-01-28 05:00:00,18.32,0.3,241.6,0.0,5,1,17.42
2016-01-28 05:15:00,18.14,0.3,241.6,0.0,5,1,17.06
2016-01-28 05:30:00,17.96,0.3,244.1,0.0,5,1,17.24
2016-01-28 05:45:00,17.6,0.3,239.1,0.0,5,1,17.06
